색상명,RGB
Grey Metallic,"(83, 86, 86)"
Silver Metallic,"(181, 183, 184)"
Gold Metallic,"(164, 149, 88)"
Ivory,"(232, 217, 192)"
Taxi Beige,"(236, 221, 186)"
Cream,"(205, 175, 127)"
Mocha,"(141, 93, 40)"
Leather Brown,"(164, 85, 22)"
Fox Brown,"(137, 56, 43)"
Wine Red,"(118, 21, 27)"
Brown,"(106, 54, 33)"
Mahogany Brown,"(73, 42, 30)"
